raceId,max,UQ,median,mean,LQ,min
992,142883.0,121811,109676,121717.24019024971,107763,86691.0
993,89457.0,84816,83065,89232.64173228346,81722,77081.0
994,81874.5,79731,79036,79857.7495042961,78302,76158.5
995,80358.0,77541,76559,79538.20558375634,75663,72846.0
996,104847.0,100086,98623,103984.57267759563,96912,92151.0
997,72735.5,70574,69709,70745.09523809524,69133,66971.5
998,101276.0,96881,95269,101208.1258351893,93951,89556.0
999,84981.5,81254,80045,83211.08,78769,75041.5
1000,88848.5,85373,84134,85054.30162601625,83056,79580.5
1001,117145.0,112198,110439,116911.71594202898,108900,103953.0
1002,89894.5,86818,85910,88633.80972972974,84767,81690.5
1003,114295.5,109401,107752,111642.22008733625,106138,101243.5
1004,106209.5,101951,100478,101254.53375527426,99112,94853.5
1005,103167.5,98312,97038,100938.49487704918,95075,90219.5
1006,106921.0,102895,101451,102935.62620837809,100211,96185.0
1007,89541.0,85224,84130,85640.42431561997,82346,78029.0
1008,78659.5,75448,74517,74915.37253414265,73307,70095.5
1009,113056.5,107694,105816,111006.37206823028,104119,98756.5
1010,94176.0,90879,89368,90420.98265895953,88681,85384.0
1011,103128.5,99401,98086,100355.92691951897,96916,93188.5
1012,104601.5,100997,99807,100897.12045889102,98594,94989.5
1013,115961.5,110596,108320,110312.68743400212,107019,101653.5
1014,89533.5,85278,83747,87557.53924646782,82441,78185.5
1015,83291.5,79840,78582,80587.34654130289,77539,74087.5
1016,81003.0,78450,77439,78023.66946564885,76748,74195.0
1017,102213.0,98319,96849,97771.85907335907,95723,91829.0
1018,73256.0,70907,70047,70587.27123483227,69341,66992.0
1019,97026.5,93164,91755,95101.0273822563,90589,86726.5
1020,133772.0,107711,93409,98449.84155597723,90337,64276.0
1021,87519.0,84195,83134,83529.30854197349,81979,78655.0
1022,117337.0,112540,110769,116425.1211734694,109342,104545.0
1023,90052.5,86829,85713,87150.30101010101,84680,81456.5
1024,118913.0,112262,109253,116809.92685025817,107828,101177.0
1025,109134.5,103070,100849,107043.69111111111,99027,92962.5
1026,101024.0,97244,96111,96641.84888438134,94724,90944.0
1027,87190.0,83524,81967,83379.45182481752,81080,77414.0
1028,107229.0,103341,101798,102680.34757281553,100749,96861.0
1029,80516.0,76502,74823,78582.8472121651,73826,69812.0
1030,109036.5,105543,104341,105010.0269767442,103214,99720.5
1031,75755.0,72056,70568,76532.74649122807,69590,65891.0
1032,72999.0,70323,69335,71366.455954323,68539,65863.0
1033,89164.0,84223,82221,84210.76940467219,80929,75988.0
1034,102276.0,95376,92047,102457.77988826815,90776,83876.0
1035,96515.5,93520,92499,93384.48975609757,91523,88527.5
1036,88991.5,85702,84787,85305.00706436421,83509,80219.5
1037,116209.0,112219,110616,115836.79112271541,109559,105569.0
1038,89879.0,86984,86018,121092.0,85054,82159.0
1039,137251.5,104649,84313,141405.24550128536,82914,50311.5
1040,107367.5,102947,101379,108128.07505285412,100000,95579.5
