raceId,max,UQ,median,LQ,min
972,157957,101943,100362,99218,96844
973,160999,88723,87598,86755,83593
974,124569,78868,77820,77200,74820
975,176877,78756,77576,76843,74551
976,1703939,126559,108700,106908,103441
977,102663,70856,69872,69098,67411
978,163389,95820,94448,93519,90621
979,136819,85099,83574,82633,80182
980,199349,113995,111722,110239,106577
981,121628,87698,86602,85800,83361
982,220969,133230,123581,109341,105008
983,119607,98940,98023,96901,94080
984,152782,98250,96773,95591,93144
985,133708,102736,101659,100722,97766
986,131283,83199,82062,81367,78785
987,139111,75712,74517,73750,71044
988,132210,105504,104265,103096,100650
989,140530,91259,89944,88303,85945
990,177106,98073,96597,95607,93740
991,162901,101307,99681,98593,95785
992,216382,121811,109676,107763,105149
993,157134,84816,83065,81722,78441
994,147991,79731,79036,78302,74260
995,159229,77541,76556,75663,73864
996,219223,100086,98620,96912,94225
997,113141,70574,69709,69133,66957
998,174472,96881,95261,93951,90696
999,145657,81254,80043,78769,75545
1000,106822,85373,84132,83056,80012
1001,524604,112198,110433,108900,106286
1002,143966,86818,85910,84767,82497
1003,171298,109401,107752,106138,101905
1004,172468,101951,100478,99112,95861
1005,162226,98312,97038,95075,92318
1006,149206,102895,101446,100211,97392
1007,123872,85224,84130,82346,78741
1008,102275,75448,74517,73307,70540
1009,168297,107694,105786,104119,100867
1010,148213,90879,89368,88681,85580
1011,152214,99401,98086,96916,93411
1012,146586,100997,99803,98594,94742
1013,167246,110596,108320,107019,103009
1014,166477,85278,83735,82441,78492
1015,126558,79840,78582,77539,74279
1016,126344,78450,77427,76748,73078
1017,124465,98319,96849,95723,92740
1018,95141,70907,70047,69341,67475
1019,169629,93164,91755,90589,87369
1020,175154,107711,93375,90337,76645
1021,112034,84195,83131,81979,77103
1022,194682,112540,110769,109342,106409
1023,128219,86829,85708,84680,81779
1024,188020,112262,109253,107828,102301
1025,198117,103070,100849,99027,95761
1026,123231,97244,96106,94724,90983
1027,204844,83524,81964,81080,79232
1028,135518,103341,101796,100749,96169
1029,139143,76502,74823,73826,70698
1030,181543,105543,104337,103214,99283
1031,138665,72056,70568,69590,67475
1032,135603,70323,69333,68539,65619
1033,204294,84223,82207,80929,76627
1034,167254,95376,92043,90776,87097
1035,119345,93520,92499,91523,88451
1036,132577,85702,84770,83509,78183
1037,187938,112219,110614,109559,107483
1038,1685363,86984,86018,85054,82746
1039,1617695,104649,84312,82914,78833
1040,187172,102947,101378,100000,97030
1041,161592,94916,93224,91980,88139
1042,120063,83713,82596,81713,78750
1043,145144,81255,79896,79000,75484
1044,256506,112178,104459,102386,96806
1045,1354973,100305,96819,95071,92014
1046,121524,59951,58727,58046,55404
1047,164251,105325,103635,102615,100926
